id,created_at,updated_at,message_uuid,payment_type,item_amount,item_uuid,org_id,item_quantity,item_description
4077a06c-4f90-4383-bdb1-5f2f401f3654,2022-04-22 12:31:21.390762+00,2022-04-22 12:31:21.390762+00,b270131b-8aac-5694-ab60-955534d566d5,Income,700,8a8478bc-9134-47d0-ae3e-9656a92d8b31,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
6db9041b-961d-411b-8000-69e954297b7d,2022-04-22 14:25:49.499179+00,2022-04-22 14:25:49.499179+00,d01ca5d3-da0d-51e2-9002-8a7d507efa20,Income,3000,0ad76290-221e-49d8-b11b-f93123ee7cc5,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
8a8111e0-bbde-4587-84b9-afcd779a6691,2022-04-22 15:46:41.319536+00,2022-04-22 15:46:41.319536+00,a14435a7-df52-5a51-81cf-8c899233f32e,Expense,1600,e1601f86-d79c-4c86-85ee-d38861aedb2a,55590d9e-9fe2-4e65-a091-045e953c3c2b,4,
926e399a-ce1b-4069-aa25-886b358e835b,2022-04-22 15:47:38.111402+00,2022-04-22 15:47:38.111402+00,2d00679f-df57-5a01-a06b-af514cc7209e,Expense,836,e1601f86-d79c-4c86-85ee-d38861aedb2a,55590d9e-9fe2-4e65-a091-045e953c3c2b,1,
8c68ba16-8755-499c-91e5-abbbb4d8af98,2022-04-22 16:06:37.499041+00,2022-04-22 16:06:37.499041+00,2765cddc-ce9e-5571-913d-4cf2fc29744c,Expense,3350,a9e2806a-2916-41ce-9683-9f764c620594,55590d9e-9fe2-4e65-a091-045e953c3c2b,1,
77294977-6879-4e71-8ca4-928d395da88c,2022-04-22 18:07:12.133898+00,2022-04-22 18:07:12.133898+00,cdd034cc-bcb5-527f-b928-b1f84e48245c,Expense,220,e8a87039-9f63-4e81-b500-ea54cda7ce21,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
0e66a299-4a4e-4681-837b-0665ff6022dc,2022-04-23 03:17:32.342069+00,2022-04-23 03:17:32.342069+00,cc7e33b1-4456-50ff-a31e-b0792cb642a0,Expense,20,1c07aad1-61a5-44ec-a79f-87a98db1a8a8,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
3dd78ff4-875d-4345-9624-780efe056841,2022-04-23 05:08:03.014926+00,2022-04-23 05:08:03.014926+00,f2e8531d-004f-59c6-a5ab-12dd21db6ba2,Expense,1028,f035a403-1120-417f-ba5a-7740a79359d5,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
6da2dfa2-5ecd-492f-b456-370466a23d7e,2022-04-23 06:20:13.183392+00,2022-04-23 06:20:13.183392+00,d6642834-efe5-5dbc-8b0e-826af62b4938,Expense,0,17f5640b-a0cf-4b9a-9ed5-676df5d9b186,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
3ae856fd-d547-4042-97f4-7ecaf47cae24,2022-04-23 06:20:13.189785+00,2022-04-23 06:20:13.189785+00,d6642834-efe5-5dbc-8b0e-826af62b4938,Expense,257,17f5640b-a0cf-4b9a-9ed5-676df5d9b186,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
6e9aa8a9-62a2-4885-9456-ff5d24376830,2022-04-23 06:21:05.315315+00,2022-04-23 06:21:05.315315+00,1bcdcf75-0429-568f-8fca-655c36777990,Expense,1000,b47b13ab-4830-4d9f-bd74-4a957c353972,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
34eaed17-be2f-47bf-8dbe-5b3d54cc24fd,2022-04-23 10:55:59.233365+00,2022-04-23 10:55:59.233365+00,4e5ee7e1-78af-58c9-a99a-88a461b71628,Income,400,8b0e470d-ce6b-456f-bdb8-77f8767d8735,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
fc765e75-1327-401c-b127-9e8bf5f61526,2022-04-23 16:16:46.61121+00,2022-04-23 16:16:46.61121+00,0f56f98c-0794-5b68-9997-0598a4d63118,Expense,1000,f035a403-1120-417f-ba5a-7740a79359d5,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
9123c05d-e0d4-4aae-96f7-76e4d5b2005f,2022-04-24 05:15:41.519887+00,2022-04-24 05:15:41.519887+00,06a2759c-cab4-50f3-8767-1906944c1be6,Expense,0,1c07aad1-61a5-44ec-a79f-87a98db1a8a8,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
